388	𒜕	ANSZE~e	ANSHE-E			ANŠE~e		
389	𒜖	ANZU2	ANZU2	remove		ANZU₂		
390	𒜗	APIN~a	APIN-A			APIN~a		
391	𒜘	APIN~b	APIN-B			APIN~b		
392	𒜙	APIN~c	APIN-C			APIN~c		
393	𒜚	ARARMA2~a	ARARMA2-A			ARARMA₂~a		
393.1	𒜛	ARARMA2~a	ARARMA2-A VARIANT 1			ARARMA₂~a~v1		
394	𒜜	ARARMA2~b	ARARMA2-B			ARARMA₂~b		
395	𒜝	ARATTA	ARATTA			ARATTA		
396	𒜞	ASAL2	ASAL2	remove		ASAL₂		
