312	ignore				𒚾	8(N14@f)	8(N14@f)	EIGHT-N14 FLAT
313	ignore				𒚿	8(N18)	8(N18)	EIGHT-N18
314	ignore				𒛀	8(N19)	8(N19)	EIGHT-N19
315	ignore				𒛁	8(N19@f)	8(N19@f)	EIGHT-N19 FLAT
316	ignore				𒛂	8(N20)	8(N20)	EIGHT-N20
317	ignore				𒛃	8(N34)	8(N34)	EIGHT-N34
318	ignore				𒛄	8(N34@f)	8(N34@f)	EIGHT-N34 FLAT
319	ignore				𒛅	8(N36)	8(N36)	EIGHT-N36
320	ignore				𒛆	8(N45@f)	8(N45@f)	EIGHT-N45 FLAT
321	ignore				𒛇	8(N51)	8(N51)	EIGHT-N51
322	ignore				𒛈	8(N51@f)	8(N51@f)	EIGHT-N51 FLAT
323	ignore				𒛉	8(N57)	8(N57)	EIGHT-N57
324	ignore				𒛊	8(N58)	8(N58)	EIGHT-N58
325	ignore				𒛋	9(N01)	9(N01)	NINE-N1
325.1	ignore				𒛌	9(N01)	9(N01)~v1	NINE-N1 VARIANT 1
326	ignore				𒛍	9(N01@f)	9(N01@f)	NINE-N1 FLAT
327	ignore				𒛎	9(N02)	9(N02)	NINE-N2
328	ignore				𒛏	9(N08)	9(N08)	NINE-N8
329	ignore				𒛐	9(N14)	9(N14)	NINE-N14
330	ignore				𒛑	9(N14@f)	9(N14@f)	NINE-N14 FLAT
331	ignore				𒛒	9(N18)	9(N18)	NINE-N18
331.1	ignore				𒛓	9(N18)	9(N18)~v1	NINE-N18 VARIANT 1
332	ignore				𒛔	9(N19)	9(N19)	NINE-N19
332.1	ignore				𒛕	9(N19)	9(N19)~v1	NINE-N19 VARIANT 1
333	ignore				𒛖	9(N19@f)	9(N19@f)	NINE-N19 FLAT
334	ignore				𒛗	9(N20)	9(N20)	NINE-N20
335	ignore				𒛘	9(N34)	9(N34)	NINE-N34
336	ignore				𒛙	9(N34@f)	9(N34@f)	NINE-N34 FLAT
337	ignore				𒛚	9(N36)	9(N36)	NINE-N36
338	ignore				𒛛	9(N45)	9(N45)	NINE-N45
339	ignore				𒛜	9(N45@f)	9(N45@f)	NINE-N45 FLAT
340	ignore				𒛝	9(N51@f)	9(N51@f)	NINE-N51 FLAT
341	ignore				𒛞	9(N57)	9(N57)	NINE-N57
342	ignore				𒛟	9(N58)	9(N58)	NINE-N58
343	ignore				𒛠	10(N01)	10(N01)	TEN-N1
344	ignore				𒛡	10(N14)	10(N14)	TEN-N14
345	ignore				𒛢	10(N14@f)	10(N14@f)	TEN-N14 FLAT
346	ignore				𒛣	10(N57)	10(N57)	TEN-N57
347	ignore				𒛤	10(N58)	10(N58)	TEN-N58
348	ignore				𒛥	12(N14)	12(N14)	TWELVE-N14
349	ignore				𒛦	12(N58)	12(N58)	TWELVE-N58
350					𒛧	A	A	A
351					𒛨	A@t	A@t	A TENU
352	remove				𒛩	A@g	A@g	A GUNU
353					𒛪	A2	A₂	A2
354					𒛫	AB~a	AB~a	AB-A
354.1					𒛬	AB~a	AB~a~v1	AB-A VARIANT 1
355					𒛭	AB~a@g	AB~a@g	AB-A GUNU
356					𒛮	AB~b	AB~b	AB-B
357					𒛯	AB2	AB₂	AB2
357.1					𒛰	AB2	AB₂~v1	AB2 VARIANT 1
358					𒛱	ABGAL	ABGAL	ABGAL
358.1					𒛲	ABGAL	ABGAL~v1	ABGAL VARIANT 1
359					𒛳	ABRIG	ABRIG	ABRIG
360					𒛴	ABZU	ABZU	ABZU
361					𒛵	AD~a	AD~a	AD-A
362					𒛶	AD~b	AD~b	AD-B
363					𒛷	AD~c	AD~c	AD-C
364					𒛸	ADAB	ADAB	ADAB
365					𒛹	ADDA	ADDA	ADDA
366					𒛺	ADDA@t-2	ADDA@t	ADDA TENU-2
367					𒛻	AGAR2	AGAR₂	AGAR2
368					𒛼	AK~a	AK~a	AK-A
