   7 g	o0901724..	@pcsl/pc25%pc:s/SI=SI--#wn%qpc:#u%:#a1#a1#u0#+k-------	SI
   2 g	o0901724..	@pcsl/pc25%pc:s/SI=SI--#wn%qpc:#u%:#a1#a1#u0#+k?------	SI
   2 g	o0901739..	@pcsl/pc25%pc:s/=SI₄~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	SI₄~a
   1 g	o0901746..	@pcsl/pc25%pc:s/SIG=SIG--#wn%qpc:#u%:#a1#a1#u0#+k-------	SIG
   1 g	o0901748..	@pcsl/pc25%pc:c/SIG=|1(N57).SIG|--#wn%qpc:#u%:#a1#a1#e0#+k?------	|SIG×1(N57)|
   1 g	o0901756..	@pcsl/pc25%pc:s/=SIG₂~a4--#wn%qpc:#u%:#a1#a1#u0#+k-------	SIG₂~a4
   1 g	o0901764..	@pcsl/pc25%pc:s/=SIG₂~d4--#wn%qpc:#u%:#a1#a1#u0#+k?------	SIG₂~d4
   2 g	o0901771..	@pcsl/pc25%pc:s/SIG₇=SIG₇--#wn%qpc:#u%:#a1#a1#u0#+k-------	SIG₇
   1 g	o0901775..	@pcsl/pc25%pc:s/=SILA₃~a--#wn%qpc:#u%:#a1#a1#u0#+k-------	SILA₃~a
   1 g	o0901795..	@pcsl/pc25%pc:c/=|SILA₃~a×GEŠTU~c3|--#wn%qpc:#u%:#a1#a1#e0#+k-------	|SILA₃~a×GEŠTU~c3|
   1 g	o0901800..	@pcsl/pc25%pc:c/HAŠHUR=|SILA₃~a×HAŠHUR|--#wn%qpc:#u%:#a1#a1#e0#.k-------	|SILA₃~a×HAŠHUR|
   3 g	o0901861..	@pcsl/pc25%pc:s/=SILA₄~b--#wn%qpc:#u%:#a1#a1#u0#+k-------	SILA₄~b
