𒸅	o0903259	12E05	|4(N57).GAR|
𒱼	o0902384	12C7C	UŠ~a
󳃲	o0903766	F30F2	UŠ~a~1
𒡢	o0900759	12862	|GAN~c×(KUR~a.A)|
𒥏	o0901114	1294F	KISAL~a2
𒡱	o0900797	12871	GEŠTU~a
𒡲	o0900798	12872	GEŠTU~a~1
𒡳	o0900799	12873	GEŠTU~a~2
𒵄	o0902629	12D44	ZATU726~a
󳃯	o0903754	F30EF	ZATU726~a~1
𒗸	o0902966	125F8	5(N18)
󰂋	o0903479	F008B	5(N18)~1
𒢀	o0900823	12880	|(GI&GI)×GIŠ@t|
󰄑	o0903222	F0111	2(N57)
𒨑	o0901444	12A11	NA₂~b1
𒡊	o0900722	1284A	GAʾAR~b2
𒖬	o0903028	125AC	1(N28)
𒬍	o0901831	12B0D	|SILA₃~b×NI~b|
𒨤	o0901469	12A24	|NAM₂×1(N01)|
𒘶	o0902991	12636	1(N20)
𒰮	o0902256	12C2E	UH₃~a
𒣶	o0900984	128F6	IB~b
𒚽	o0900070	126BD	ALAN~e
𒬡	o0901879	12B21	SUG₅
𒠘	o0900634	12818	|GA₂~a1×GEŠTU~c3|
󰄒_𒪼	o0903234	F0112	|3(N57).SANGA~a|
𒕺	o0903137	1257A	2(N45)
󰂻	o0903527	F00BB	2(N45)~1
𒜃	o0900165	12703	BIR~a
𒫿	o0901841	12AFF	|SILA₃~a×ŠE~a|
𒲿	o0902473	12CBF	ZATU639
𒘑	o0902978	12611	7(N19)
󰂒	o0903486	F0092	7(N19)~1
𒭁	o0901922	12B41	ŠA₃~d
𒶻	o0902775	12DBB	ZATU807
𒦟	o0901260	1299F	|LAGAB~b&LAGAB~b|
𒴂	o0902552	12D02	ZATU683~b
󲶧	o0901434	F2DA7	|MUŠEN×PAP~a|
𒥺	o0901176	1297A	KUŠU₂~e
𒠷	o0900644	12837	|GA₂~a2×GU₄|
𒕕	o0902863	12555	6(N01)
󰁢	o0903438	F0062	6(N01)~1
𒣌	o0900926	128CC	|GUG₂×TUR|
𒗚	o0903329	125DA	1(N21)
𒙫	o0903009	1266B	2(N22@f)
𒘿	o0903158	1263F	1(N47)
𒳧	o0902520	12CE7	ZATU666
󰃣	o0903147	F00E3	4(N45@f)
𒗐	o0903081	125D0	5(N35)
󰂲	o0903518	F00B2	5(N35)~1
𒶯	o0902762	12DAF	ZATU792
󳁪	o0900378	F306A	|DUG~a×KU₆~a|
𒚧	o0900041	126A7	AB₂
𒚩	o0900042	126A9	AB₂~1
󳃵	o0903769	F30F5	AB₂~2
𒜏	o0900187	1270F	|BU~a×1(N58)|
𒟧	o0900534	127E7	ENGIZ
𒠢	o0900660	12822	|GA₂~a1×(KU₆~a.KU₆~a)|
𒲱	o0902457	12CB1	ZATU629
𒲰	o0902456	12CB0	ZATU629~1
𒗏	o0903320	125CF	4(N35)
𒥨	o0901153	12968	|KU₆~a+KU₆~a|
𒮃	o0902006	12B83	ŠITA~a3
𒳰	o0902530	12CF0	ZATU675~b
𒳯	o0902529	12CEF	ZATU675~b~1
𒗛	o0903000	125DB	2(N21)
𒭖	o0901959	12B56	|ŠE~a&ŠE~a|
󲶋	o0901317	F2D8B	|MA×2(N57)|
󰄂	o0903014	F0102	7(N23)
𒯺	o0902187	12BFA	|U₄×3(N01).3(N08)|
𒳳	o0902534	12CF3	ZATU676~a
𒮘_𒛌	o0902040	12B98	|ŠU₂.AN|
