pcsl	cdli	cdli_fixed_flag	recommendation	encoding_status	unicode_codepoint	unicode_name
DILMUN	DILMUN	False	keep	proposed	12745	PROTO-CUNEIFORM SIGN DILMUN
DILMUN~v1	DILMUN	False	keep	proposed	12746	PROTO-CUNEIFORM SIGN DILMUN VARIANT 1
DILMUN~v2	DILMUN	False	keep	proposed	12747	PROTO-CUNEIFORM SIGN DILMUN VARIANT 2
DIM~a	DIM~a	False	keep	proposed	12748	PROTO-CUNEIFORM SIGN DIM-A
|DIM~a×GU|	|DIM~axGU|	False	remove	not_proposed		
|DIM~a×X|	|DIM~axX|	False	remove	not_proposed		
DIM~b	DIM~b	False	keep	proposed	12749	PROTO-CUNEIFORM SIGN DIM-B
DIM~c	DIM~c	False	keep	proposed	1274A	PROTO-CUNEIFORM SIGN DIM-C
DIN	DIN	False	keep	proposed	1274B	PROTO-CUNEIFORM SIGN DIN
DIN@t	DIN@t	False	keep	proposed	1274C	PROTO-CUNEIFORM SIGN DIN TENU
DU	DU	False	keep	proposed	1274D	PROTO-CUNEIFORM SIGN DU
|DU×1(N58@t)|	|DUxDISZ|	False	keep	proposed	1274E	PROTO-CUNEIFORM SIGN DU TIMES ONE-N58 TENU
DU@g	DU@g	False	keep	proposed	1274F	PROTO-CUNEIFORM SIGN DU GUNU
DU₆~a	DU6~a	False	keep	proposed	12750	PROTO-CUNEIFORM SIGN DU6-A
DU₆~a~v1	DU6~a	False	keep	proposed	12751	PROTO-CUNEIFORM SIGN DU6-A VARIANT 1
|DU₆~a~v1×1(N58)|	|DU6~axDISZ|	False	rename	proposed	12752	PROTO-CUNEIFORM SIGN DU6-A VARIANT 1 TIMES ONE-N58
DU₆~b	DU6~b	False	keep	proposed	12753	PROTO-CUNEIFORM SIGN DU6-B
DU₆~c	DU6~c	False	keep	proposed	12754	PROTO-CUNEIFORM SIGN DU6-C
DU₇	DU7	False	keep	proposed	12755	PROTO-CUNEIFORM SIGN DU7
DU₈~a	DU8~a	False	keep	proposed	12756	PROTO-CUNEIFORM SIGN DU8-A
DU₈~b	DU8~b	False	keep	proposed	12757	PROTO-CUNEIFORM SIGN DU8-B
DU₈~b~v1	DU8~b	False	keep	proposed	12758	PROTO-CUNEIFORM SIGN DU8-B VARIANT 1
DU₈~c	DU8~c	False	keep	proposed	12759	PROTO-CUNEIFORM SIGN DU8-C
|DU₈~c×HI|	|DU8~cxHI|	False	keep	proposed	1275A	PROTO-CUNEIFORM SIGN DU8-C TIMES HI
|DU₈~c×UDU~a|	|DU8~cxUDU~a|	False	keep	proposed	1275B	PROTO-CUNEIFORM SIGN DU8-C TIMES UDU-A
|DU₈~c×X|	|DU8~cxX|	False	keep	proposed	1275C	PROTO-CUNEIFORM SIGN DU8-C TIMES X
DU₈~c@g	DU8~c@g	False	keep	proposed	1275D	PROTO-CUNEIFORM SIGN DU8-C GUNU
DU₈~c@g~v1	DU8~c@g	False	keep	proposed	1275E	PROTO-CUNEIFORM SIGN DU8-C GUNU VARIANT 1
DUB~a	DUB~a	False	keep	proposed	1275F	PROTO-CUNEIFORM SIGN DUB-A
DUB~b	DUB~b	False	keep	proposed	12760	PROTO-CUNEIFORM SIGN DUB-B
DUB~b~v1	DUB~b	False	keep	proposed	12761	PROTO-CUNEIFORM SIGN DUB-B VARIANT 1
DUB~b~v2	DUB~b	False	keep	proposed	12762	PROTO-CUNEIFORM SIGN DUB-B VARIANT 2
DUB~b~v3	DUB~b	False	keep	proposed	12763	PROTO-CUNEIFORM SIGN DUB-B VARIANT 3
DUB~b~v4	DUB~b	False	keep	proposed	12764	PROTO-CUNEIFORM SIGN DUB-B VARIANT 4
DUB~c	DUB~c	False	keep	proposed	12765	PROTO-CUNEIFORM SIGN DUB-C
DUB~d	DUB~d	False	keep	proposed	12766	PROTO-CUNEIFORM SIGN DUB-D
DUB~e	DUB~e	False	keep	proposed	12767	PROTO-CUNEIFORM SIGN DUB-E
DUB~f	DUB~f	False	keep	proposed	12768	PROTO-CUNEIFORM SIGN DUB-F
|(DUB@n~a×1(N58))~a|	|(DUBxDISZ)~a|	False	keep	proposed	12769	PROTO-CUNEIFORM SIGN DUB NUTILLU-A TIMES ONE-N58 FORM A
|(DUB@n~a×1(N58))~b|	|(DUBxDISZ)~c|	False	keep	proposed	1276A	PROTO-CUNEIFORM SIGN DUB NUTILLU-A TIMES ONE-N58 FORM B
|DUB@n~b×1(N58)~a|	|(DUBxDISZ)~b|	False	keep	proposed	1276B	PROTO-CUNEIFORM SIGN DUB NUTILLU-B TIMES ONE-N58 FORM A
DUB₂	DUB2	False	keep	proposed	1276C	PROTO-CUNEIFORM SIGN DUB2
DUG~a	DUG~a	False	keep	proposed	1276D	PROTO-CUNEIFORM SIGN DUG-A
|DUG~a×HI|	|DUG~axHI|	False	remove	not_proposed		
|DUG~a×KASKAL|	|DUG~axKASKAL|	False	keep	proposed	1276E	PROTO-CUNEIFORM SIGN DUG-A TIMES KASKAL
|DUG~a×LAM~b|	|DUG~axLAM~b|	False	keep	proposed	1276F	PROTO-CUNEIFORM SIGN DUG-A TIMES LAM-B
|DUG~a×NAGA~a|	|DUG~axNAGA~a|	False	keep	proposed	12770	PROTO-CUNEIFORM SIGN DUG-A TIMES NAGA-A
|DUG~a×U₂~a|	|DUG~axU2~a|	False	keep	proposed	12771	PROTO-CUNEIFORM SIGN DUG-A TIMES U2-A
|DUG~a×U₂~b|	|DUG~axU2~b|	False	keep	proposed	12772	PROTO-CUNEIFORM SIGN DUG-A TIMES U2-B
|DUG~a×X|	|DUG~axX|	False	remove	not_proposed		
|DUG~a×1(N57)|	|DUG~ax1(N57)|	False	keep	proposed	12773	PROTO-CUNEIFORM SIGN DUG-A TIMES ONE-N57
DUG~a@t			add	proposed	12774	PROTO-CUNEIFORM SIGN DUG-A TENU
DUG~a~v1	DUG~a	False	keep	proposed	12775	PROTO-CUNEIFORM SIGN DUG-A VARIANT 1
DUG~a~v2	DUG~a	False	keep	proposed	12776	PROTO-CUNEIFORM SIGN DUG-A VARIANT 2
DUG~b	DUG~b	False	keep	proposed	12777	PROTO-CUNEIFORM SIGN DUG-B
|DUG~b×ANŠE~b|	|DUG~bxANSZE~b|	False	keep	proposed	12778	PROTO-CUNEIFORM SIGN DUG-B TIMES ANSHE-B
|DUG~b×ANŠE~d|	|DUG~bxANSZE~d|	False	keep	proposed	12779	PROTO-CUNEIFORM SIGN DUG-B TIMES ANSHE-D
|DUG~b×BALA~a|	|DUG~bxBALA~a|	False	keep	proposed	1277A	PROTO-CUNEIFORM SIGN DUG-B TIMES BALA-A
