o0000135	DAR	o0900227
o0000136	DARA₃	o0900234
o0028399	DARA₃~a	o0900235
o0028401	DARA₃~b	o0900236
o0028403	DARA₃~c	o0900237
o0035547	DARA₃~c~v1	o0900238
o0028408	DARA₃~d	o0900239
o0038025	DARA₃~d1	o0903399
o0038027	DARA₃~d2	o0903400
o0000137	DARA₄	o0900248
o0028413	DARA₄~a1	o0900249
o0028415	DARA₄~a2	o0900250
o0028417	DARA₄~a3	o0900251
o0027511	DARA₄~b	o0900252
o0036340	DARA₄~c	o0900253
o0028419	DARA₄~c1	o0900254
o0028421	DARA₄~c2	o0900255
o0028423	DARA₄~c3	o0900256
o0028425	DARA₄~c4	o0900257
o0028427	DARA₄~c5	o0900258
o0036341	DARA₄~d	o0900259
o0028429	DAR~a	o0900228
o0028433	DAR~b	o0900229
o0028435	DAR~c	o0900230
o0028437	DAR~d	o0900231
o0028385	DA~a	o0900217
o0028389	DA~b	o0900218
o0028391	DA~c	o0900219
o0028393	DA~d	o0900220
o0000139	DI	o0900260
o0028451	DI@t	o0900261
o0000140	DIB	o0900262
o0035553	DIB~v1	o0900263
o0028439	DILMUN	o0900264
o0035555	DILMUN~v1	o0900265
o0035557	DILMUN~v2	o0900266
o0000141	DIM	o0900268
o0028441	DIM~a	o0900269
o0028447	DIM~b	o0900270
o0028449	DIM~c	o0900271
o0000144	DIN	o0900276
o0027171	DIN@t	o0900278
o0000149	DU	o0900279
o0000150	DU@g	o0900282
o0000153	DUB	o0900311
o0038029	DUB@n	o0903358
o0038031	DUB@n~a	o0903359
o0038033	DUB@n~b	o0903360
o0036793	DUB@r	o0900327
o0028477	DUB~a	o0900312
o0028479	DUB~b	o0900313
o0036354	DUB~b@r	o0900328
o0035565	DUB~b~v1	o0900314
o0035567	DUB~b~v2	o0900315
o0035569	DUB~b~v3	o0900316
o0035571	DUB~b~v4	o0900317
o0028481	DUB~c	o0900318
o0028483	DUB~d	o0900319
o0028485	DUB~e	o0900320
o0028486	DUB~f	o0900321
o0036356	DUB~h	o0900322
o0000154	DUB₂	o0900329
o0000155	DUG	o0900330
o0036794	DUG@t	o0900477
o0000156	DUGUD	o0900481
o0028492	DUG~a	o0900331
o0038016	DUG~a@t	o0900478
o0035573	DUG~a~v1	o0900332
o0035575	DUG~a~v2	o0900333
o0028510	DUG~b	o0900334
o0035578	DUG~b~v1	o0900335
o0036036	DUG~b~v2	o0903401
o0038074	DUG~c2@t	o0900480
o0028616	DUG~c@t	o0900479
o0028614	DUG~c~v1	o0900336
o0036038	DUG~c~v2	o0903402
o0035599	DUG~c~v3	o0900337
o0028620	DUG~d	o0900338
o0000160	DUN₃	o0902136
o0036089	DUR	o0900482
o0028622	DUR~a	o0900483
o0028624	DUR~b	o0900484
o0000165	DUR₂	o0900485
o0036086	DU₆	o0900283
o0028453	DU₆~a	o0900284
o0037831	DU₆~a2	o0900286
o0035559	DU₆~a~v1	o0900285
o0028457	DU₆~b	o0900287
o0028459	DU₆~c	o0900288
o0028461	DU₇	o0900291
o0036088	DU₈	o0900292
o0036345	DU₈@c	o0900296
o0036795	DU₈@g	o0900308
o0036350	DU₈@g~c	o0900310
o0028463	DU₈~a	o0900293
o0028465	DU₈~b	o0900294
o0035561	DU₈~b~v1	o0900295
o0028469	DU₈~c	o0900296
o0028467	DU₈~c@g	o0900309
o0035563	DU₈~c@g~v1	o0900310
o0036715	DU₈~d	o0900297
o0000166	E	o0900486
o0000167	EDIN	o0900511
o0000173	EN	o0900512
o0036093	EN@g	o0900524
o0028668	EN@g~a	o0900525
o0028669	EN@g~b	o0900526
o0036796	EN@t	o0900527
o0028665	ENDIB	o0900533
o0028671	ENGIZ	o0900534
o0028672	ENKUM	o0900535
o0035614	ENKUM~v1	o0900536
o0028673	ENLIL	o0900537
o0028676	ENSI	o0900538
o0028674	ENSI₂	o0900539
o0028659	EN~a	o0900513
o0035604	EN~a~v1	o0900514
o0035606	EN~a~v2	o0900515
o0035608	EN~a~v3	o0900516
o0028660	EN~b	o0900517
o0028662	EN~b@t	o0900528
o0035610	EN~b~v1	o0900518
o0028664	EN~c	o0900519
o0035612	EN~c~v1	o0900520
o0036055	EN~d	o0903403
o0028666	EN~e	o0900521
o0028657	EN₂	o0900529
o0036095	ERIM	o0900540
o0028680	ERIM~a	o0900541
o0028682	ERIM~b1	o0900542
o0028684	ERIM~b2	o0900543
o0028678	ERIM₂	o0900544
o0028686	ERIN	o0900545
o0036447	EZEM~c	o0900554
o0000177	EZEN	o0900549
o0036798	EZEN@t	o0900591
o0028694	EZEN~a	o0900550
o0035616	EZEN~a~v1	o0900551
o0028722	EZEN~b	o0900552
o0037835	EZEN~b1	o0900553
o0028723	EZEN~b@t	o0900592
o0028727	EZEN~c	o0900554
o0036097	EZINU	o0900593
o0028729	EZINU~a	o0900594
o0028731	EZINU~b	o0900595
o0028733	EZINU~c	o0900596
o0028735	EZINU~d	o0900597
o0028644	E~a	o0900487
o0028645	E~b	o0900488
o0028647	E~c	o0900489
o0028649	E~d	o0900490
o0028651	E~e	o0900491
o0028688	EŠDA	o0900546
o0028692	EŠGAR	o0900548
o0000180	E₂	o0900492
o0028627	E₂~a	o0900493
o0028632	E₂~b	o0900494
o0028637	E₂~c	o0900495
o0028639	E₂~d	o0900496
o0036091	E₃	o0900507
o0028641	E₃~a	o0900508
o0028643	E₃~b	o0900510
o0000187	GA	o0900598
o0036477	GABURRA	o0902657
o0036098	GADA	o0900723
o0036800	GADA@g	o0900726
o0028850	GADA~a	o0900724
o0028853	GADA~b	o0900725
o0028852	GADA~b@g	o0900727
o0000194	GAL	o0900728
o0036100	GALGA	o0900731
o0028856	GALGA~a	o0900732
o0028857	GALGA~b	o0900733
o0028854	GAL~a	o0900729
o0028855	GAL~b	o0900730
o0000196	GAM	o0903362
o0000197	GAN	o0900735
o0028858	GAN~a	o0900736
o0035639	GAN~a~v1	o0900737
o0028859	GAN~b	o0900738
o0035641	GAN~b~v1	o0900739
o0035643	GAN~b~v2	o0900740
o0035645	GAN~b~v3	o0900741
o0028860	GAN~c	o0900742
o0035647	GAN~c~v1	o0900743
o0038061	GAN~c~v2	o0903404
o0028883	GAN~d	o0900744
o0037825	GAN~e	o0900745
o0000199	GAN₂	o0900778
o0000202	GAR	o0900779
o0000203	GAR@g	o0900780
o0028893	GAR@g~a	o0900781
o0028895	GAR@g~b	o0900782
o0028897	GAR@g~c	o0900783
o0036102	GARA₂	o0900785
o0028889	GARA₂~a	o0900786
o0028891	GARA₂~b	o0900787
o0000204	GAR₃	o0900784
o0028899	GAZI	o0900788
o0028831	GA~a	o0900599
o0035630	GA~a~v1	o0900600
o0035632	GA~a~v2	o0900601
o0035634	GA~a~v3	o0900602
o0035636	GA~a~v4	o0900603
o0028842	GA~b	o0900604
o0028844	GA~c	o0900605
o0036801	GAʾAR	o0900718
o0028833	GAʾAR~a1	o0900719
o0028835	GAʾAR~a2	o0900720
o0028836	GAʾAR~b1	o0900721
o0028838	GAʾAR~b2	o0900722
o0000206	GA₂	o0900615
o0028737	GA₂~a1	o0900616
o0028797	GA₂~a2	o0900617
o0028816	GA₂~a3	o0900618
o0028820	GA₂~a4	o0900619
o0028822	GA₂~b	o0900620
o0028829	GA₂~c	o0900621
o0000208	GEŠTIN	o0900789
o0028901	GEŠTIN~a	o0900790
o0028903	GEŠTIN~c	o0900791
o0036486	GEŠTIN~d	o0900792
o0036487	GEŠTIN~e	o0900793
o0036104	GEŠTU	o0900796
o0028907	GEŠTU~a	o0900797
o0035649	GEŠTU~a~v1	o0900798
o0035650	GEŠTU~a~v2	o0900799
o0028910	GEŠTU~b	o0900800
o0036057	GEŠTU~c	o0903405
o0028912	GEŠTU~c3	o0900801
o0035652	GEŠTU~c3~v1	o0900802
o0028914	GEŠTU~c5	o0900803
o0000210	GI	o0900806
o0029003	GI@t	o0900827
o0028927	GIBIL	o0900839
o0028929	GIBIL@t	o0900840
o0028925	GIBIL₆	o0900841
o0000212	GIG	o0900842
o0028938	GIL	o0900843
o0036106	GIR	o0900844
o0028960	GIR~a	o0900845
o0028966	GIR~b	o0900846
o0035657	GIR~b~v1	o0900847
o0028967	GIR~c	o0900848
o0028968	GIR~d	o0900849
o0000213	GIR₂	o0900854
o0028940	GIR₂~a	o0900855
o0028942	GIR₂~b	o0900856
o0000215	GIR₃	o0900857
o0036108	GIR₃@g	o0900868
o0028953	GIR₃@g~a	o0900869
o0028955	GIR₃@g~b	o0900870
o0028957	GIR₃@g~c	o0900871
o0028944	GIR₃~a	o0900858
o0028946	GIR₃~b	o0900859
o0028947	GIR₃~c	o0900860
o0036489	GIR₃~c@g	o0900871
o0028959	GIR₄	o0900867
o0000216	GISAL	o0900872
o0028970	GISAL~a	o0900873
o0028972	GISAL~b	o0900874
o0036805	GIZZAL	o0900904
o0029022	GIZZAL~x	o0900905
o0035664	GI~v1	o0900807
o0000217	GIŠ	o0900875
o0000218	GIŠ@t	o0900885
o0028977	GIŠGAL	o0900893
o0035658	GIŠGAL~v1	o0900894
o0036807	GIŠIMMAR	o0900895
o0028978	GIŠIMMAR~a1	o0900896
o0028980	GIŠIMMAR~a2	o0900897
o0028981	GIŠIMMAR~a3	o0900898
o0028983	GIŠIMMAR~b1	o0900899
