P000705	CDLI Lexical 000007, ex. 014	Englund, Robert K. & Nissen, Hans J., ATU 7, pl. 94, HD 05
P003748	ATU 7, pl. 065, W 20493,44	
P003749	ATU 7, pl. 065, W 20493,45	
P003750	ATU 7, pl. 065, W 20493,46	
P003751	ATU 7, pl. 065, W 20493,47	
P003752	ATU 7, pl. 065, W 20493,48	
P003753	ATU 7, pl. 065, W 20493,49	
P003754	ATU 7, pl. 065, W 20493,50	
P003755	ATU 7, pl. 065, W 20493,51	
P003756	ATU 7, pl. 066, W 20493,52	
P003757	ATU 7, pl. 066, W 20493,53	
P003758	ATU 7, pl. 066, W 20493,54	
P003759	ATU 7, pl. 066, W 20493,55	
P003760	ATU 7, pl. 066, W 20493,56	
P003801	ATU 7, pl. 066, W 20498	
P003802	ATU 7, pl. 066, W 20499,1	
P003803	ATU 7, pl. 066, W 20499,2	
P003804	ATU 7, pl. 066, W 20500+	
P003805	ATU 7, pl. 067, W 20500,a	
P003810	ATU 7, pl. 067, W 20511,4	
P003811	ATU 7, pl. 067, W 20511,5	
P003812	ATU 7, pl. 067, W 20511,6	Spektrum der Wissenschaft, Februar 1988, 75 Vs. (p)
P003813	ATU 7, pl. 067, W 20511,7	
P003814	ATU 7, pl. 068, W 20511,8	
P003815	ATU 7, pl. 068, W 20511,9	
P003816	ATU 7, pl. 068, W 20511,10	
P003817	ATU 7, pl. 068, W 20511,11	
P003818	ATU 7, pl. 068, W 20511,12	ATU 2, plate 60 obv., not identified
P003819	ATU 7, pl. 068, W 20511,14	
P003820	ATU 7, pl. 068, W 20511,15	
P003821	ATU 7, pl. 069, W 20511,16	
P003822	ATU 7, pl. 069, W 20511,17a	
P003823	ATU 7, pl. 069, W 20511,17b	
P003824	ATU 7, pl. 069, W 20511,18	
P003825	ATU 7, pl. 069, W 20511,19	
P003826	ATU 7, pl. 069, W 20511,20	
P003827	ATU 7, pl. 069, W 20511,21	
P003828	ATU 7, pl. 069, W 20511,22	
P003829	ATU 7, pl. 070, W 20511,23	
P003830	ATU 7, pl. 070, W 20511,24	
P003831	ATU 7, pl. 070, W 20511,25	
P003832	ATU 7, pl. 070, W 20511,26	
P003833	ATU 7, pl. 070, W 20511,27	
P003834	ATU 7, pl. 070, W 20511,28	
P003835	ATU 7, pl. 070, W 20511,29	
P003836	ATU 7, pl. 070, W 20511,30	
P003837	ATU 7, pl. 070, W 20511,31	
P003838	ATU 7, pl. 070, W 20511,32	
P003840	ATU 7, pl. 070, W 20513	
P003842	ATU 7, pl. 071, W 20514,2	
P003844	ATU 7, pl. 071, W 20514,5	
P003845	ATU 7, pl. 072, W 20514,6	
P003846	ATU 7, pl. 072, W 20514,8	
P003847	ATU 7, pl. 072, W 20516	
P003848	ATU 7, pl. 072, W 20517,1	
P003853	ATU 7, pl. 072, W 20521,2	
P003854	ATU 7, pl. 072, W 20522,1	
P003855	ATU 7, pl. 072, W 20522,2	ATU 2, plate 60 obv.
P003856	ATU 7, pl. 073, W 20522,3	
P003857	ATU 7, pl. 073, W 20522,4	
