o0980274	1276B	𒝫	|DUG~b×ZATU764|	PROTO-CUNEIFORM SIGN DUG-B TIMES ZATU764
o0980275	1276C	𒝬	|DUG~b×ZATU779|	PROTO-CUNEIFORM SIGN DUG-B TIMES ZATU779
o0980276	1276D	𒝭	|DUG~b×ZATU780|	PROTO-CUNEIFORM SIGN DUG-B TIMES ZATU780
o0980277	1276E	𒝮	|DUG~b×ZATU781|	PROTO-CUNEIFORM SIGN DUG-B TIMES ZATU781
o0980278	1276F	𒝯	|DUG~b×(ZATU789.SA~a)|	PROTO-CUNEIFORM SIGN DUG-B TIMES ZATU789 PLUS SA-A
o0980279	12770	𒝰	|DUG~b×1(N57)|	PROTO-CUNEIFORM SIGN DUG-B TIMES ONE-N57
o0980280	12771	𒝱	|DUG~b×(1(N57).KU₃~a)|	PROTO-CUNEIFORM SIGN DUG-B TIMES ONE-N57 PLUS KU3-A
o0980282	12772	𒝲	|DUG~b×1(N58)|	PROTO-CUNEIFORM SIGN DUG-B TIMES ONE-N58
o0980283	12773	𒝳	|(DUG~b&DUG~b)×1(N58)|	PROTO-CUNEIFORM SIGN DUG-B OVER DUG-B TIMES ONE-N58
o0980284	12774	𒝴	DUG~c	PROTO-CUNEIFORM SIGN DUG-C
o0980285	12775	𒝵	|DUG~c×1(N57)|	PROTO-CUNEIFORM SIGN DUG-C TIMES ONE-N57
o0980286	12776	𒝶	DUG~c@t	PROTO-CUNEIFORM SIGN DUG-C TENU
o0980287	12777	𒝷	DUG~d	PROTO-CUNEIFORM SIGN DUG-D
o0980288	12778	𒝸	DUGUD	PROTO-CUNEIFORM SIGN DUGUD
o0980289	12779	𒝹	DUR~a	PROTO-CUNEIFORM SIGN DUR-A
o0980290	1277A	𒝺	DUR~b	PROTO-CUNEIFORM SIGN DUR-B
o0980291	1277B	𒝻	DUR₂	PROTO-CUNEIFORM SIGN DUR2
o0980292	1277C	𒝼	E~a	PROTO-CUNEIFORM SIGN E-A
o0980293	1277D	𒝽	E~b	PROTO-CUNEIFORM SIGN E-B
o0980294	1277E	𒝾	E~c	PROTO-CUNEIFORM SIGN E-C
o0980297	1277F	𒝿	E₂~a	PROTO-CUNEIFORM SIGN E2-A
o0980300	12780	𒞀	|E₂~a×1(N58@t)|	PROTO-CUNEIFORM SIGN E2-A TIMES ONE-N58 TENU
o0980301	12781	𒞁	E₂~b	PROTO-CUNEIFORM SIGN E2-B
